User,Chart,mode ,timespent,dataset
7,line,see data,56,music
7,line,predict,8,music
7,line,see data,137,music
7,line,predict,12,music
7,line,see data,51,music
7,line,predict,24,music
7,line,see data,16,music
7,line,predict,30,music
7,line,see data,26,music
7,bar,predict,12,music
7,bar,see data,41,music
7,parallel,predict,20,music
7,parallel,see data,92,music
7,parallel,predict,17,music
7,parallel,see data,41,music
7,parallel,predict,13,music
7,parallel,see data,28,music
8,scatter,predict,19,admission
8,scatter,see data,11,admission
8,scatter,predict,13,admission
8,scatter,see data,6,admission
8,parallel,predict,49,admission
8,parallel,see data,12,admission
8,parallel,predict,49,admission
8,parallel,see data,39,admission
8,parallel,predict,22,admission
8,parallel,see data,30,admission
8,parallel,predict,30,admission
8,parallel,see data,51,admission
8,parallel,predict,18,admission
8,parallel,see data,45,admission
8,scatter,predict,11,admission
8,scatter,see data,28,admission
8,scatter,predict,10,admission
8,scatter,see data,31,admission
8,scatter,predict,12,admission
8,scatter,see data,30,admission
8,bar,predict,35,music
8,bar,see data,21,music
8,histogram,predict,64,music
8,histogram,see data,17,music
8,bar,predict,20,music
8,bar,see data,14,music
8,scatter,predict,24,music
8,scatter,see data,12,music
8,scatter,predict,8,music
8,scatter,see data,15,music
8,scatter,predict,6,music
8,scatter,see data,7,music
8,parallel,predict,27,music
8,parallel,see data,250,music
8,scatter,predict,18,music
8,scatter,see data,67,music
8,scatter,predict,9,music
8,scatter,see data,24,music
8,parallel,predict,16,music
8,parallel,see data,44,music
8,scatter,predict,10,music
8,scatter,see data,10,music
8,scatter,predict,9,music
8,scatter,see data,30,music
8,line,see data,51,music
9,histogram,predict,110,admission
9,histogram,see data,86,admission
9,histogram,predict,77,admission
9,histogram,see data,133,admission
9,scatter,predict,59,admission
9,scatter,see data,114,admission
9,scatter,predict,41,admission
9,scatter,see data,54,admission
9,parallel,predict,94,admission
9,parallel,see data,143,admission
9,bar,predict,83,admission
9,bar,see data,60,admission
9,line,predict,41,music
9,line,see data,14,music
9,bar,predict,30,music
9,bar,see data,15,music
9,parallel,predict,154,music
9,parallel,see data,66,music
9,histogram,predict,102,music
9,histogram,see data,54,music
9,bar,predict,44,music
9,bar,see data,41,music
9,scatter,predict,32,music
9,scatter,see data,85,music
9,line,predict,22,music
9,line,see data,12,music
9,scatter,predict,42,music
9,scatter,see data,68,music
10,histogram,predict,11,admission
10,histogram,see data,18,admission
10,histogram,predict,16,admission
10,histogram,see data,47,admission
10,scatter,predict,29,admission
10,scatter,see data,11,admission
10,scatter,predict,28,admission
10,scatter,see data,82,admission
10,bar,predict,34,admission
10,bar,see data,135,admission
10,scatter,predict,29,admission
10,scatter,see data,44,admission
10,histogram,predict,13,admission
10,histogram,see data,41,admission
10,histogram,predict,38,admission
10,histogram,see data,28,admission
10,scatter,predict,28,admission
10,scatter,see data,24,admission
10,parallel,see data,144,admission
10,bar,predict,23,music
10,bar,see data,31,music
10,bar,predict,80,music
10,bar,see data,20,music
10,line,predict,38,music
10,line,see data,104,music
10,histogram,predict,49,music
10,histogram,see data,44,music
10,scatter,predict,31,music
10,scatter,see data,102,music
10,histogram,predict,49,music
10,histogram,see data,30,music
10,scatter,predict,20,music
10,scatter,see data,84,music
10,histogram,predict,47,music
10,histogram,see data,134,music
10,parallel,predict,69,music
10,parallel,see data,45,music
10,histogram,predict,42,music
10,histogram,see data,148,music
10,histogram,predict,33,music
10,histogram,see data,22,music
11,scatter,predict,14,admission
11,scatter,see data,9,admission
11,bar,predict,14,admission
11,bar,see data,26,admission
11,scatter,predict,14,admission
11,scatter,see data,30,admission
11,scatter,predict,19,admission
11,scatter,see data,25,admission
11,bar,predict,10,admission
11,bar,see data,17,admission
11,scatter,see data,38,admission
11,scatter,see data,48,admission
11,line,predict,10,music
11,line,see data,29,music
11,bar,predict,22,music
11,bar,see data,20,music
11,scatter,predict,39,music
11,scatter,see data,3,music
11,scatter,predict,27,music
11,scatter,see data,20,music
11,scatter,predict,15,music
11,scatter,see data,12,music
11,bar,predict,41,music
11,bar,see data,16,music
11,scatter,predict,43,music
11,scatter,see data,12,music
11,bar,predict,30,music
11,bar,see data,30,music
11,scatter,predict,34,music
11,scatter,see data,11,music
11,scatter,see data,78,music
11,scatter,predict,5,music
11,scatter,see data,19,music
11,scatter,predict,44,music
11,scatter,see data,40,music
11,bar,predict,23,music
